Creditability,Balance of current account,Duration in months,Payment of previous credits,Purpose of credit,Amount of credit in DM,Value of savings or stocks,Has been employed by current employer for,Installment in % of available income,Marital Status/Sex,Further debtors/Guarantors,Living in current household for,Most valuable available assets,Age in years,Further running credits,Type of apartment,Number of previous credits at this bank,Occupation,Number of persons entitled to maintainance,Telephone,Foreign worker,NewVar
good,no running account,6,paid back previous credits at this bank,other,609,no savings,between 4 and 7 years,less than 20,female:divorced/living apart/married,none,between 4 and 7 years,car/other,37,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.150359422
good,>=200 DM,6,paid back previous credits at this bank,items of furniture,1237,less than 100 DM,between 1 and 4 years,greater than 35,female:divorced/living apart/married,none,less than 1 year,car/other,27,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.151201993
bad,no running account,12,problematic running accounts,items of furniture,626,no savings,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,no assets,24,at other banks,rented,one,unskilled with permanant residence,3 and more,no,yes,-0.151504578
good,no balance,15,no previous credits or paid back,household appliances,2631,less than 100 DM,between 1 and 4 years,between 20 and 25,female:divorced/living apart/married,none,between 1 and 4 years,no assets,25,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,-0.1538283
good,no running account,6,no previous credits or paid back,other,1374,greater than 1000 DM,unemployed,less than 20,female:divorced/living apart/married,none,between 4 and 7 years,car/other,75,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.154111299
good,>=200 DM,6,no problems with current credits at this bank,items of furniture,935,no savings,between 1 and 4 years,between 20 and 25,female:divorced/living apart/married,none,between 1 and 4 years,no assets,24,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.155483901
good,>=200 DM,18,no previous credits or paid back,retraining,1568,less than 100 DM,between 1 and 4 years,between 20 and 25,female:divorced/living apart/married,none,greater than 7 years,car/other,24,no further running credits,free apartment,one,unskilled with permanant residence,3 and more,no,yes,-0.155685961
good,no running account,12,no previous credits or paid back,used car,2578,no savings,unemployed,between 20 and 25,female:divorced/living apart/married,none,greater than 7 years,ownership of house or land,55,no further running credits,owner,one,executive/self-employed/higher civil servant,3 and more,no,yes,-0.156698886
bad,no running account,18,no previous credits or paid back,radio/television,1217,no savings,between 1 and 4 years,less than 20,male:married/widowed,none,between 4 and 7 years,no assets,47,no further running credits,rented,one,unskilled with permanant residence,3 and more,yes,yes,-0.160998563
good,no running account,12,no problems with current credits at this bank,other,1344,no savings,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,no assets,43,no further running credits,rented,2 or 3,unskilled with permanant residence,0 to 2,no,yes,-0.166244988
bad,<= 200 DM,18,no previous credits or paid back,used car,2864,no savings,between 1 and 4 years,between 25 and 35,male:single,none,less than 1 year,no assets,34,no further running credits,rented,one,unskilled with permanant residence,0 to 2,no,yes,-0.166681642
bad,no balance,72,no previous credits or paid back,items of furniture,5595,less than 100 DM,between 1 and 4 years,between 25 and 35,male:married/widowed,none,between 1 and 4 years,savings contract with a building society/Life insurance,24,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.169858562
good,no balance,12,paid back previous credits at this bank,items of furniture,3573,no savings,between 1 and 4 years,greater than 35,female:divorced/living apart/married,none,less than 1 year,no assets,23,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,-0.170697085
good,>=200 DM,24,no previous credits or paid back,new car,6313,greater than 1000 DM,greater than 7 years,between 20 and 25,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,41,no further running credits,rented,one,executive/self-employed/higher civil servant,0 to 2,yes,yes,-0.171571755
bad,no running account,12,paid back previous credits at this bank,other,4843,no savings,greater than 7 years,between 20 and 25,male:single,co-applicant,greater than 7 years,car/other,43,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.178587473
good,>=200 DM,5,no previous credits or paid back,retraining,3448,no savings,between 4 and 7 years,greater than 35,male:single,none,greater than 7 years,no assets,74,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,-0.181566175
good,>=200 DM,9,no previous credits or paid back,other,3577,less than 100 DM,between 1 and 4 years,greater than 35,male:single,guarantor,between 1 and 4 years,no assets,26,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,no,-0.18550265
good,>=200 DM,24,paid back previous credits at this bank,repair,1597,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,54,no further running credits,owner,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,-0.186709462
good,no balance,9,no previous credits or paid back,other,1549,greater than 1000 DM,less than 1 year,less than 20,male:single,none,between 1 and 4 years,no assets,35,no further running credits,rented,one,unemployed/unskilled with no permaant residence,3 and more,no,yes,-0.187953877
good,no balance,48,problematic running accounts,retraining,3566,less than 100 DM,between 4 and 7 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,30,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.189609787
good,no running account,36,paid back previous credits at this bank,used car,2348,no savings,between 1 and 4 years,between 20 and 25,male:married/widowed,none,between 1 and 4 years,car/other,46,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.193665298
good,no balance,60,no problems with current credits at this bank,items of furniture,9157,greater than 1000 DM,between 1 and 4 years,between 25 and 35,male:single,none,between 1 and 4 years,ownership of house or land,27,no further running credits,owner,one,executive/self-employed/higher civil servant,3 and more,no,yes,-0.195487755
good,no running account,39,paid back previous credits at this bank,used car,14179,greater than 1000 DM,between 4 and 7 years,less than 20,male:single,none,greater than 7 years,car/other,30,no further running credits,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.19589045
good,>=200 DM,6,no previous credits or paid back,items of furniture,2108,no savings,between 4 and 7 years,between 25 and 35,male:married/widowed,none,between 1 and 4 years,no assets,29,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.200168591
good,>=200 DM,24,no previous credits or paid back,items of furniture,3105,greater than 1000 DM,less than 1 year,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,25,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.205377044
good,>=200 DM,9,no previous credits or paid back,radio/television,1236,no savings,less than 1 year,greater than 35,female:divorced/living apart/married,none,greater than 7 years,no assets,23,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.209996863
good,no running account,36,no previous credits or paid back,used car,3959,no savings,unemployed,less than 20,male:single,none,between 4 and 7 years,car/other,30,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.210832137
bad,no balance,24,no previous credits or paid back,business,11328,no savings,between 1 and 4 years,between 25 and 35,male:single,co-applicant,between 4 and 7 years,savings contract with a building society/Life insurance,29,at other banks,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.211920677
good,>=200 DM,15,paid back previous credits at this bank,used car,3343,no savings,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,ownership of house or land,28,no further running credits,owner,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.216289192
good,no balance,12,no previous credits or paid back,items of furniture,1103,no savings,between 4 and 7 years,less than 20,male:single,guarantor,between 4 and 7 years,no assets,29,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.218257859
good,>=200 DM,21,no previous credits or paid back,new car,5248,greater than 1000 DM,between 1 and 4 years,greater than 35,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,26,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.222064439
good,no running account,9,paid back previous credits at this bank,household appliances,1288,less than 100 DM,greater than 7 years,between 20 and 25,male:single,guarantor,greater than 7 years,no assets,48,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,no,no,-0.223746586
good,no running account,21,paid back previous credits at this bank,other,1602,no savings,greater than 7 years,less than 20,male:married/widowed,none,between 4 and 7 years,savings contract with a building society/Life insurance,30,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.230750886
bad,no running account,18,problematic running accounts,used car,1553,no savings,between 1 and 4 years,less than 20,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,44,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.23566541
bad,no balance,15,no previous credits or paid back,other,2631,less than 100 DM,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,28,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.236290633
good,>=200 DM,36,no previous credits or paid back,repair,9055,greater than 1000 DM,between 1 and 4 years,between 25 and 35,male:single,none,greater than 7 years,ownership of house or land,35,no further running credits,owner,one,unskilled with permanant residence,0 to 2,yes,yes,-0.236620271
good,no balance,18,no previous credits or paid back,retraining,1913,between 500 and 1000 DM,less than 1 year,between 20 and 25,male:married/widowed,none,between 4 and 7 years,no assets,36,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.239329228
good,>=200 DM,21,no problems with current credits at this bank,new car,2993,no savings,between 1 and 4 years,between 20 and 25,male:single,none,between 1 and 4 years,no assets,28,at department store or mail order house,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,-0.243155761
good,<= 200 DM,42,hesistant payment of previous credits,retraining,6289,no savings,less than 1 year,between 25 and 35,male:divorced/living apart,none,less than 1 year,car/other,33,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.244814221
bad,no running account,24,no previous credits or paid back,other,915,greater than 1000 DM,greater than 7 years,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,29,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.246600446
bad,<= 200 DM,18,no previous credits or paid back,items of furniture,2100,no savings,between 1 and 4 years,less than 20,male:single,co-applicant,between 1 and 4 years,no assets,37,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.247503537
good,>=200 DM,36,paid back previous credits at this bank,new car,5842,no savings,greater than 7 years,between 25 and 35,male:single,none,between 1 and 4 years,car/other,35,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,-0.250469466
good,no balance,18,paid back previous credits at this bank,used car,6361,no savings,greater than 7 years,between 25 and 35,male:single,none,less than 1 year,ownership of house or land,41,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.251174907
good,no running account,21,no previous credits or paid back,items of furniture,3357,between 500 and 1000 DM,less than 1 year,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,29,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.25232746
good,no balance,24,no previous credits or paid back,items of furniture,2896,less than 100 DM,less than 1 year,between 25 and 35,male:single,none,less than 1 year,savings contract with a building society/Life insurance,29,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.255939371
good,no running account,18,no previous credits or paid back,other,2249,less than 100 DM,between 4 and 7 years,less than 20,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,30,no further running credits,rented,one,executive/self-employed/higher civil servant,0 to 2,yes,yes,-0.258142683
bad,no running account,24,problematic running accounts,business,1358,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,40,at department store or mail order house,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.258563732
good,no balance,6,no previous credits or paid back,items of furniture,368,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,car/other,38,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.26243702
good,<= 200 DM,24,no previous credits or paid back,used car,2892,no savings,greater than 7 years,between 20 and 25,male:divorced/living apart,none,greater than 7 years,ownership of house or land,51,no further running credits,owner,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.266076213
good,no running account,18,no previous credits or paid back,items of furniture,3509,no savings,between 4 and 7 years,less than 20,female:divorced/living apart/married,guarantor,less than 1 year,no assets,25,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.269599039
good,no running account,12,no previous credits or paid back,used car,1620,no savings,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,co-applicant,between 4 and 7 years,car/other,30,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.269713955
bad,no running account,12,problematic running accounts,other,697,no savings,less than 1 year,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,46,at other banks,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.271223524
good,>=200 DM,24,no previous credits or paid back,other,1474,less than 100 DM,less than 1 year,less than 20,male:married/widowed,none,between 4 and 7 years,no assets,33,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.277868071
good,<= 200 DM,15,paid back previous credits at this bank,new car,2360,between 100 and 500 DM,between 1 and 4 years,between 25 and 35,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,36,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.284093397
good,no balance,9,no previous credits or paid back,used car,2030,greater than 1000 DM,between 4 and 7 years,between 25 and 35,male:single,none,less than 1 year,savings contract with a building society/Life insurance,24,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.287357993
good,no running account,6,paid back previous credits at this bank,other,1361,no savings,less than 1 year,between 25 and 35,male:single,none,greater than 7 years,no assets,40,no further running credits,rented,one,unskilled with permanant residence,0 to 2,no,no,-0.288154374
bad,no running account,45,hesistant payment of previous credits,retraining,11816,no savings,greater than 7 years,between 25 and 35,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,29,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.288711259
good,<= 200 DM,10,paid back previous credits at this bank,other,781,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,63,no further running credits,owner,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.296707149
bad,no running account,9,no previous credits or paid back,other,654,no savings,between 1 and 4 years,less than 20,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,28,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,-0.303127984
good,no balance,12,no previous credits or paid back,used car,3017,no savings,less than 1 year,between 20 and 25,female:divorced/living apart/married,none,less than 1 year,no assets,34,no further running credits,free apartment,one,executive/self-employed/higher civil servant,3 and more,no,yes,-0.304245286
good,>=200 DM,12,no previous credits or paid back,items of furniture,886,greater than 1000 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,21,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.305623311
good,no balance,24,no previous credits or paid back,items of furniture,3758,between 100 and 500 DM,unemployed,greater than 35,female:divorced/living apart/married,none,greater than 7 years,ownership of house or land,23,no further running credits,free apartment,one,unemployed/unskilled with no permaant residence,3 and more,no,yes,-0.307098446
good,>=200 DM,15,no previous credits or paid back,items of furniture,1386,greater than 1000 DM,between 1 and 4 years,less than 20,male:married/widowed,none,between 1 and 4 years,no assets,40,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.308555172
good,<= 200 DM,15,no previous credits or paid back,repair,1905,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,40,no further running credits,free apartment,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.309336125
good,>=200 DM,15,paid back previous credits at this bank,new car,3368,between 500 and 1000 DM,greater than 7 years,between 20 and 25,male:single,none,greater than 7 years,ownership of house or land,23,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.314551514
good,>=200 DM,21,no previous credits or paid back,items of furniture,3160,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,between 4 and 7 years,car/other,41,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.31495819
good,no running account,24,paid back previous credits at this bank,retraining,1382,less than 100 DM,between 4 and 7 years,less than 20,male:single,none,less than 1 year,no assets,26,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.315300947
bad,>=200 DM,24,no previous credits or paid back,items of furniture,5943,greater than 1000 DM,less than 1 year,greater than 35,female:divorced/living apart/married,none,less than 1 year,savings contract with a building society/Life insurance,44,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.315892739
good,no balance,24,no previous credits or paid back,new car,2760,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,36,at other banks,owner,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.319808133
good,>=200 DM,24,no previous credits or paid back,vacation,937,no savings,less than 1 year,less than 20,male:married/widowed,none,between 4 and 7 years,savings contract with a building society/Life insurance,27,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,-0.320331674
good,>=200 DM,30,no previous credits or paid back,items of furniture,1867,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,58,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.322052317
bad,no running account,18,no previous credits or paid back,used car,4153,no savings,between 1 and 4 years,between 25 and 35,male:single,co-applicant,between 4 and 7 years,savings contract with a building society/Life insurance,42,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.325181184
good,>=200 DM,12,paid back previous credits at this bank,items of furniture,1934,no savings,greater than 7 years,between 25 and 35,male:single,none,between 1 and 4 years,ownership of house or land,26,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.325231523
good,no balance,24,no problems with current credits at this bank,used car,2333,greater than 1000 DM,less than 1 year,less than 20,male:single,none,between 1 and 4 years,car/other,29,at other banks,rented,one,unskilled with permanant residence,3 and more,no,yes,-0.32629046
good,>=200 DM,12,paid back previous credits at this bank,used car,1935,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,no assets,43,no further running credits,rented,4 or 5,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.327183999
bad,>=200 DM,48,paid back previous credits at this bank,other,10127,between 100 and 500 DM,between 1 and 4 years,between 25 and 35,male:single,none,between 1 and 4 years,ownership of house or land,44,no further running credits,owner,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.327550273
good,<= 200 DM,12,no previous credits or paid back,items of furniture,1297,no savings,between 1 and 4 years,between 20 and 25,male:married/widowed,none,greater than 7 years,no assets,23,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.327584507
good,>=200 DM,15,paid back previous credits at this bank,other,5045,greater than 1000 DM,greater than 7 years,greater than 35,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,59,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.329108986
good,no running account,24,problematic running accounts,other,2325,less than 100 DM,between 4 and 7 years,between 25 and 35,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,32,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.333823088
bad,no running account,12,hesistant payment of previous credits,items of furniture,6199,no savings,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,car/other,28,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.338437835
good,no running account,21,no previous credits or paid back,items of furniture,2606,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,greater than 7 years,car/other,28,no further running credits,free apartment,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.340324315
good,>=200 DM,10,paid back previous credits at this bank,used car,2069,greater than 1000 DM,between 1 and 4 years,between 25 and 35,male:married/widowed,none,less than 1 year,savings contract with a building society/Life insurance,26,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,no,-0.340538829
good,no running account,12,no previous credits or paid back,items of furniture,1680,between 100 and 500 DM,greater than 7 years,between 20 and 25,male:married/widowed,none,less than 1 year,no assets,35,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.344807297
good,no balance,6,paid back previous credits at this bank,vacation,932,greater than 1000 DM,between 4 and 7 years,greater than 35,female:divorced/living apart/married,none,between 4 and 7 years,car/other,39,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,-0.352254433
good,>=200 DM,10,no previous credits or paid back,repair,727,between 100 and 500 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,46,no further running credits,owner,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.353600047
good,no running account,6,paid back previous credits at this bank,other,666,between 500 and 1000 DM,between 4 and 7 years,between 20 and 25,female:divorced/living apart/married,none,greater than 7 years,no assets,39,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,yes,yes,-0.361792745
good,no balance,48,no previous credits or paid back,items of furniture,3979,greater than 1000 DM,between 4 and 7 years,less than 20,male:single,none,less than 1 year,savings contract with a building society/Life insurance,41,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,-0.363918814
good,>=200 DM,24,no previous credits or paid back,new car,5433,greater than 1000 DM,unemployed,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,car/other,26,no further running credits,free apartment,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.365335976
bad,>=200 DM,36,no previous credits or paid back,used car,3349,no savings,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,28,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.365369431
bad,no running account,48,paid back previous credits at this bank,new car,6331,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,46,no further running credits,owner,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.365637951
good,no balance,36,paid back previous credits at this bank,items of furniture,2337,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,no assets,36,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.370997347
good,>=200 DM,18,no previous credits or paid back,items of furniture,1505,no savings,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,ownership of house or land,32,no further running credits,owner,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.372499106
good,no running account,18,no previous credits or paid back,items of furniture,2389,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,less than 1 year,savings contract with a building society/Life insurance,27,at department store or mail order house,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.372795924
good,no running account,12,no previous credits or paid back,used car,1262,greater than 1000 DM,greater than 7 years,between 25 and 35,male:divorced/living apart,none,greater than 7 years,car/other,49,no further running credits,rented,one,unskilled with permanant residence,3 and more,yes,yes,-0.382966063
good,>=200 DM,36,no problems with current credits at this bank,used car,7678,between 100 and 500 DM,between 4 and 7 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,40,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.385196095
good,>=200 DM,12,no previous credits or paid back,repair,1393,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,car/other,47,at other banks,rented,4 or 5,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,-0.385990059
good,>=200 DM,24,no previous credits or paid back,items of furniture,1901,less than 100 DM,between 1 and 4 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,29,no further running credits,free apartment,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.391409166
bad,no running account,30,no previous credits or paid back,used car,2406,no savings,between 4 and 7 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,no assets,23,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.394049957
good,>=200 DM,18,paid back previous credits at this bank,items of furniture,2404,no savings,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,26,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.394886349
bad,no balance,24,hesistant payment of previous credits,retraining,4241,no savings,between 1 and 4 years,greater than 35,male:single,none,greater than 7 years,no assets,36,no further running credits,rented,4 or 5,unskilled with permanant residence,3 and more,yes,yes,-0.397264531
good,>=200 DM,30,no previous credits or paid back,new car,4811,greater than 1000 DM,between 4 and 7 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,car/other,24,at department store or mail order house,free apartment,one,unskilled with permanant residence,3 and more,no,yes,-0.399256405
good,>=200 DM,18,no problems with current credits at this bank,items of furniture,2320,no savings,unemployed,between 25 and 35,male:married/widowed,none,between 4 and 7 years,no assets,34,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.402370125
good,>=200 DM,18,no previous credits or paid back,new car,3378,greater than 1000 DM,between 1 and 4 years,between 25 and 35,male:single,none,less than 1 year,car/other,31,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.404738865
bad,no running account,12,paid back previous credits at this bank,used car,2246,no savings,greater than 7 years,between 20 and 25,male:single,none,between 4 and 7 years,car/other,60,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.411012463
bad,>=200 DM,36,paid back previous credits at this bank,used car,7127,no savings,less than 1 year,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,car/other,23,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.412247782
good,>=200 DM,15,no previous credits or paid back,used car,2221,between 100 and 500 DM,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,20,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.419860762
bad,<= 200 DM,12,problematic running accounts,retraining,609,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,less than 1 year,no assets,26,at other banks,rented,one,unemployed/unskilled with no permaant residence,3 and more,no,yes,-0.420881326
good,>=200 DM,48,paid back previous credits at this bank,retraining,7629,greater than 1000 DM,greater than 7 years,less than 20,male:divorced/living apart,none,between 1 and 4 years,savings contract with a building society/Life insurance,46,at other banks,rented,2 or 3,executive/self-employed/higher civil servant,0 to 2,no,yes,-0.429568437
good,no running account,15,paid back previous credits at this bank,used car,1478,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,44,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,-0.430860768
good,>=200 DM,12,paid back previous credits at this bank,retraining,1412,no savings,between 1 and 4 years,less than 20,female:divorced/living apart/married,guarantor,between 1 and 4 years,no assets,29,no further running credits,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.433190077
